,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ID,CODE,URL,lenh,donvi,time,Câu lệnh sinh ra
0,0,0,0,58,mở đát bót chỉ huy tập đoàn ngày,/pages/screen/2354,mở,tập đoàn,ngày,"1. hãy mở dashboard của tập đoàn trong ngày hôm nay.
2. trưởng phòng đã ra lệnh mở dashboard cho toàn tập đoàn vào hôm nay.
3. sáng nay, chúng ta sẽ mở dashboard của tập đoàn để xem thông tin mới nhất.
4. truy cập dashboard tập đoàn trong ngày để cập nhật thông tin mới.
5. quản lý yêu cầu mở dashboard cho tất cả nhân viên tập đoàn hôm nay."
1,1,1,1,73,mở dashboard chỉ huy vtc tháng,/pages/screen/2701,mở,vtc,tháng,"1. tôi đã mở dashboard của vtc trong tháng này.
2. bạn hãy mở dashboard để kiểm tra dữ liệu trong tháng.
3. tháng này, vtc cần tôi mở dashboard để cập nhật danh sách khách hàng.
4. mỗi tháng, tôi phải mở dashboard của vtc để xem báo cáo.
5. để tiện theo dõi, tôi đã tạo tiện ích mở dashboard từ vtc trong tháng này."
2,2,2,2,84,mở dashboard chỉ huy công ty mẹ tháng,/pages/screen/9682,mở,công ty mẹ,tháng,"1. hãy mở dashboard thống kê của công ty mẹ cho tháng này.
2. mở dashboard để xem báo cáo tài chính hàng tháng của công ty mẹ.
3. hãy mở dashboard để theo dõi tiến độ dự án của công ty mẹ trong tháng này.
4. vui lòng mở dashboard công việc chung của toàn bộ công ty mẹ trong tháng này.
5. hãy mở dashboard nhân sự của công ty mẹ để kiểm tra thông tin nhân viên trong tháng này."
3,3,3,3,94,mở dashboard chỉ huy vtc ngày,/pages/screen/2690,mở,vtc,ngày,"1. mở dashboard vtc để kiểm tra chỉ số ngày hôm nay.
2. hãy mở dashboard vtc để xem thông tin cập nhật hàng ngày.
3. mở dashboard vtc để kiểm tra chỉ số ngày của các hoạt động.
4. bạn hãy mở dashboard vtc để theo dõi thông tin của ngày hôm nay.
5. hãy mở dashboard vtc để theo dõi các số liệu và biểu đồ của ngày."
4,4,4,4,102,mở dashboard chỉ huy nat ngày,/pages/screen/2919,mở,nat,ngày,"1. hôm nay, tôi mở dashboard để kiểm tra nat thường xuyên.
2. nat đã được mở trên dashboard từ sáng đến chiều nay.
3. dashboard hiển thị thông tin nat hàng ngày của tôi.
4. tôi nhớ mở dashboard để kiểm tra nat mỗi ngày.
5. các thông số nat ngày hôm qua đã được ghi nhận trên dashboard."
5,5,5,5,104,mở dashboard chỉ huy mov tháng,/pages/screen/2772,mở,mov,tháng,"1. tôi muốn mở dashboard để kiểm tra mov của tháng trước.
2. trong tháng này, tôi đang sử dụng mov để đánh giá hiệu suất công việc trên dashboard của tôi.
3. để nắm bắt tình hình hoạt động, tôi thường mở dashboard để xem tiến độ công việc của các thành viên trong tháng này.
4. dashboard hiển thị rõ ràng các chỉ số mov trong tháng, giúp tôi theo dõi và đánh giá kết quả làm việc.
5. mỗi ngày, khi bắt đầu làm việc, tôi thường mở dashboard để xem tỷ lệ hoàn thành công việc trong tháng và điều chỉnh kế hoạch."
6,6,6,6,113,mở dashboard chỉ huy vds tháng,/pages/screen/3055,mở,vds,tháng,"1. mở dashboard quản lý vds tháng để kiểm tra tình hình hoạt động.
2. hãy mở dashboard vds trong tháng để xem các chỉ số và thông tin cần thiết.
3. mở dashboard chỉ huy vds tháng để xem kế hoạch và tiến độ công việc.
4. hãy mở dashboard vds trong tháng để đánh giá hiệu suất và đưa ra các biện pháp cải thiện.
5. mở dashboard quản lý vds tháng để theo dõi tiến trình và đưa ra các quyết định quan trọng."
7,7,7,7,114,mở dashboard chỉ huy vtm tháng,/pages/screen/3097,mở,vtm,tháng,"1. hãy mở dashboard của vtm cho tháng này. 
2. đảm bảo rằng bạn đã mở dashboard vtm cho tháng hiện tại. 
3. vui lòng mở dashboard để xem tình hình vtm trong tháng này. 
4. yêu cầu mở dashboard để kiểm tra các hoạt động của vtm trong tháng. 
5. để xem báo cáo hàng tháng, vui lòng mở dashboard vtm."
8,8,8,8,116,mở dashboard chỉ huy vcs ngày,/pages/screen/3178,mở,vcs,ngày,"1. ngày hôm nay tôi có thể mở dashboard vcs để xem thông tin.
2. hãy mở dashboard vcs để kiểm tra tình hình vào ngày mai.
3. trong dashboard vcs, có thể xem được dữ liệu từng ngày.
4. hãy mở dashboard vcs ngay khi vào làm để truy cập thông tin nhanh chóng.
5. ngày mai sẽ có cuộc họp để tiếp tục thảo luận về dashboard vcs."
9,9,9,9,118,mở dashboard chỉ huy vtcc tháng,/pages/screen/3223,mở,vtcc,tháng,"1. mở dashboard để xem báo cáo hoạt động của vtcc trong tháng.
2. mở dashboard để kiểm tra kết quả thực hiện nhiệm vụ của vtcc trong tháng.
3. hãy mở dashboard vtcc để xem thông tin chi tiết về các hoạt động trong tháng.
4. vui lòng mở dashboard vtcc để xem báo cáo tổng kết công tác trong tháng.
5. mở dashboard vtcc để xem thống kê thông tin đánh giá hiệu suất làm việc trong tháng."
10,10,10,10,120,mở dashboard chỉ huy idc ngày,/pages/screen/3189,mở,idc,ngày,"1. tôi hôm nay mở dashboard để kiểm tra tình hình idc ngày.
2. nếu có vấn đề xảy ra, bạn có thể mở dashboard để xem idc ngày.
3. ngày mai tôi sẽ mở dashboard để kiểm tra idc.
4. đừng quên mở dashboard để xem idc ngày.
5. sau khi mở dashboard, tôi nhận ra rằng idc ngày đã xuất hiện lỗi."
11,11,11,11,121,mở dashboard chỉ huy idc tháng,/pages/screen/3195,mở,idc,tháng,"1. chúng ta cần mở dashboard để xem thông tin về idc trong tháng này.
2. liệu bạn có idc cần xem trên dashboard trong tháng này không?
3. mở dashboard ngay để kiểm tra idc trong tháng trước.
4. hãy mở dashboard để xem báo cáo về hiệu suất của idc trong tháng này.
5. tháng này, tôi cần các số liệu idc từ dashboard để thực hiện báo cáo."
